Category,0
1.9,1
ART_AND_DESIGN,65
AUTO_AND_VEHICLES,85
BEAUTY,53
BOOKS_AND_REFERENCE,231
BUSINESS,460
COMICS,60
COMMUNICATION,387
DATING,234
EDUCATION,156
ENTERTAINMENT,149
EVENTS,64
FAMILY,1972
FINANCE,366
FOOD_AND_DRINK,127
GAME,1144
HEALTH_AND_FITNESS,341
HOUSE_AND_HOME,88
LIBRARIES_AND_DEMO,85
LIFESTYLE,382
MAPS_AND_NAVIGATION,137
MEDICAL,463
NEWS_AND_MAGAZINES,283
PARENTING,60
PERSONALIZATION,392
PHOTOGRAPHY,335
PRODUCTIVITY,424
SHOPPING,260
SOCIAL,295
SPORTS,384
TOOLS,843
TRAVEL_AND_LOCAL,258
VIDEO_PLAYERS,175
WEATHER,82
